source,station,comp,lat,lon,dist,max_amp,max_amp_anti,max_amp_causal,snr,snr_anticausal,snr_causal,noise,noise_anticausal,noise_causal
SVD,NO.B4072,ZZ,33.97512,-117.65031,53.02133381293632,2.200969278935548e-11,2.200969278935548e-11,1.7154342661387416e-11,3.4868165847812094,3.4262266945072177,2.780958067920914,6.915618106446222e-10,5.261358024309738e-10,4.488194017000419e-10
SVD,NO.B4073,ZZ,33.97203,-117.6503,53.11653991831838,2.342192751384705e-11,2.342192751384705e-11,1.2631140835035941e-11,3.965533618125011,3.9041429407630748,2.1826451203141235,6.470920853748185e-10,4.913899135879328e-10,4.210274572741964e-10
SVD,NO.B4074,ZZ,33.96962,-117.65028,53.191129340823146,2.331923534139026e-11,1.738054597945054e-11,2.331923534139026e-11,2.7057247593266034,2.010720581668631,2.715674412734121,9.442263362223294e-10,7.080663438750733e-10,6.246642511679611e-10
SVD,NO.B4075,ZZ,33.96771,-117.64753,53.009466742147005,1.331422615123049e-11,1.331422615123049e-11,9.816051919804392e-12,4.0520548981906845,3.8543177943986264,3.208680062417563,3.5998692250762444e-10,2.8292116938948403e-10,2.2258974883807493e-10
SVD,NO.B4076,ZZ,33.96525,-117.64742,53.080330799733716,2.0781468080622528e-11,2.0781468080622528e-11,5.681937687519292e-12,9.922182937431751,7.9525202220208335,4.99853374950863,2.2946426265899313e-10,2.140433115529962e-10,8.270011255773723e-11
SVD,NO.B4077,ZZ,33.9614,-117.64745,53.21165278274662,1.3401865982167815e-11,1.3401865982167815e-11,9.208863051261697e-12,3.896270904043282,3.6409405885811608,2.963563339687228,3.768435095077797e-10,3.0151791414286793e-10,2.2604861890547843e-10
SVD,NO.B4079,ZZ,33.95631,-117.64664,53.315473779719404,3.479663660050432e-11,3.479663660050432e-11,8.401759532312454e-12,10.805557190275946,8.70113285293574,4.669244474535082,3.5280619454006975e-10,3.2763447629709526e-10,1.3087345356249159e-10
SVD,NO.B4080,ZZ,33.95363,-117.64605,53.35817678572025,2.7030086447324855e-11,2.7030086447324855e-11,6.333482001346348e-12,9.36002302730328,7.982757926481871,3.028001658655761,3.163860427714621e-10,2.7741028522012853e-10,1.5213041022317784e-10
SVD,NO.B4081,ZZ,33.95088,-117.64589,53.4426636963161,3.7482793663497977e-11,3.7482793663497977e-11,9.462751669410195e-12,11.251930122228325,8.959564918224629,5.493705397752215,3.649667924735933e-10,3.427995834445514e-10,1.2525655750780081e-10
SVD,NO.B4082,ZZ,33.94849,-117.64709,53.63426252542081,2.941145691037973e-11,2.941145691037973e-11,7.129007477558636e-12,9.174797804467396,7.815152060580542,3.084981515513207,3.512084648727758e-10,3.0841430059176237e-10,1.6801191918666315e-10
SVD,NO.B4083,ZZ,33.94543,-117.64702,53.74087561764468,4.649284537756547e-11,4.649284537756547e-11,1.240720711768429e-11,12.06095548112964,9.543832987423656,6.554909474432309,4.223305628705336e-10,3.992889633484089e-10,1.3759152620236002e-10
SVD,NO.B4084,ZZ,33.94323,-117.64642,53.770913766538435,4.554269981194564e-11,4.554269981194564e-11,1.1643732198213299e-11,11.808428125262397,9.382092044713236,5.948759063118955,4.225473142450269e-10,3.978714191310544e-10,1.422834024555442e-10
